Unnamed: 0,Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
316,mobilenet_v2,Pruning,4890.6,6.84,46.8,11.3164,146.198830409357,72.31
317,mobilenet_v2,Distillation,4897.75,6.85,48.27,10.3125,145.985401459854,97.2
318,efficientnet_b0,Base,14228.5,19.9,58.34,17.8164,50.251256281407,38.32
319,efficientnet_b0,Pruning,12734.15,17.81,58.52,15.2031,56.1482313307131,38.74
320,efficientnet_b0,Distillation,14214.2,19.88,60.76,16.2539,50.3018108651912,50.07
321,mnasnet1_0,Base,5112.25,7.15,53.04,12.6602,139.86013986014,77.9
322,mnasnet1_0,Pruning,4983.55,6.97,49.97,11.9414,143.472022955524,80.42
323,mnasnet1_0,Distillation,5119.4,7.16,51.8,12.6289,139.664804469274,88.39
324,resnet18,Base,11332.75,15.85,80.7,26.5977,63.0914826498423,92.45
325,resnet18,Pruning,10074.35,14.09,78.0,25.0898,70.97232079489,77.76
326,resnet18,Distillation,11347.05,15.87,85.2,26.5508,63.0119722747322,99.44
327,mobilenet_v2,Base,4819.1,6.74,47.81,10.418,148.367952522255,90.07
328,mobilenet_v2,Pruning,4776.2,6.68,47.38,10.0352,149.700598802395,72.31
329,mobilenet_v2,Distillation,4833.4,6.76,49.12,10.3711,147.92899408284,97.2
330,efficientnet_b0,Base,14235.65,19.91,57.37,16.2969,50.2260170768458,38.32
331,efficientnet_b0,Pruning,12812.8,17.92,58.9,15.3984,55.8035714285714,38.74
332,efficientnet_b0,Distillation,14214.2,19.88,58.11,16.3828,50.3018108651912,50.07
333,mnasnet1_0,Base,5140.85,7.19,53.26,12.6719,139.082058414465,77.9
334,mnasnet1_0,Pruning,5019.3,7.02,51.65,11.8828,142.450142450142,80.42
335,mnasnet1_0,Distillation,5148.0,7.2,54.45,12.8047,138.888888888889,88.39
336,resnet18,Base,11339.9,15.86,81.59,26.4297,63.0517023959647,92.45
337,resnet18,Pruning,10067.2,14.08,76.55,25.2344,71.0227272727273,77.76
338,resnet18,Distillation,11339.9,15.86,80.8,26.1875,63.0517023959647,99.44
339,mobilenet_v2,Base,4847.7,6.78,49.2,10.5781,147.492625368732,90.07
340,mobilenet_v2,Pruning,4797.65,6.71,47.26,10.0664,149.03129657228,72.31
341,mobilenet_v2,Distillation,4833.4,6.76,48.48,10.2461,147.92899408284,97.2
342,efficientnet_b0,Base,14192.75,19.85,58.66,16.0508,50.3778337531486,38.32
343,efficientnet_b0,Pruning,12819.95,17.93,59.45,15.1211,55.7724484104852,38.74
344,efficientnet_b0,Distillation,14235.65,19.91,58.57,16.3242,50.2260170768458,50.07
345,mnasnet1_0,Base,5148.0,7.2,52.89,12.7266,138.888888888889,77.9
346,mnasnet1_0,Pruning,5062.2,7.08,50.69,11.9258,141.242937853107,80.42
347,mnasnet1_0,Distillation,5291.0,7.4,53.26,12.8086,135.135135135135,88.39
348,resnet18,Base,11347.05,15.87,79.61,26.418,63.0119722747322,92.45
349,resnet18,Pruning,10038.6,14.04,78.32,25.1133,71.2250712250712,77.76
350,resnet18,Distillation,11325.6,15.84,81.32,26.2617,63.1313131313131,99.44
351,mobilenet_v2,Base,4833.4,6.76,50.74,10.5312,147.92899408284,90.07
352,mobilenet_v2,Pruning,5033.6,7.04,48.3,11.543,142.045454545455,72.31
353,mobilenet_v2,Distillation,4847.7,6.78,49.14,10.582,147.492625368732,97.2
354,efficientnet_b0,Base,14214.2,19.88,59.02,16.3594,50.3018108651912,38.32
355,efficientnet_b0,Pruning,12819.95,17.93,59.49,16.7109,55.7724484104852,38.74
356,efficientnet_b0,Distillation,14214.2,19.88,59.06,16.0547,50.3018108651912,50.07
357,mnasnet1_0,Base,5076.5,7.1,54.14,12.418,140.845070422535,77.9
358,mnasnet1_0,Pruning,4990.7,6.98,50.48,11.8945,143.266475644699,80.42
359,mnasnet1_0,Distillation,5119.4,7.16,50.89,12.75,139.664804469274,88.39
